Date : 2023-04-24 11:02:45
Directory : c:\xampp\htdocs\Blockimino
Total : 690 files,  98443 codes, 24355 comments, 4926 blanks, all 127724 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        173 |     68,421 |      1,307 |      2,104 |     71,832 |
| CSS        |          9 |     12,919 |        238 |      1,219 |     14,376 |
| PHP        |         82 |      9,085 |      1,645 |      1,166 |     11,896 |
| TypeScript |        417 |      7,785 |     21,165 |        402 |     29,352 |
| JSON       |          3 |         93 |          0 |          0 |         93 |
| XML        |          3 |         78 |          0 |          7 |         85 |
| Markdown   |          1 |         50 |          0 |         28 |         78 |
| HTML       |          2 |         12 |          0 |          0 |         12 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        690 |     98,443 |     24,355 |      4,926 |    127,724 |
| . (Files)                                                                                                          |         47 |      4,868 |        738 |        614 |      6,220 |
| .vs                                                                                                                |          2 |         16 |          0 |          0 |         16 |
| Bloques                                                                                                            |         14 |        427 |        101 |         79 |        607 |
| Bloques\EstructurasDeControl                                                                                       |          4 |        122 |         62 |         23 |        207 |
| Bloques\Setup                                                                                                      |          1 |         13 |         10 |          3 |         26 |
| Bloques\Variables                                                                                                  |          6 |        206 |         23 |         45 |        274 |
| Bloques\categorias                                                                                                 |          3 |         86 |          6 |          8 |        100 |
| Bloques\categorias\Digital                                                                                         |          3 |         86 |          6 |          8 |        100 |
| Libraries                                                                                                          |        582 |     70,671 |     21,722 |      1,273 |     93,666 |
| Libraries (Files)                                                                                                  |         14 |        552 |        103 |        110 |        765 |
| Libraries\LibreriasBlocklyOficial                                                                                  |        564 |     67,552 |     21,599 |      1,142 |     90,293 |
| Libraries\LibreriasBlocklyOficial (Files)                                                                          |         30 |      6,336 |        228 |        135 |      6,699 |
| Libraries\LibreriasBlocklyOficial\closure                                                                          |          3 |          5 |         42 |          0 |         47 |
| Libraries\LibreriasBlocklyOficial\closure\goog                                                                     |          3 |          5 |         42 |          0 |         47 |
| Libraries\LibreriasBlocklyOficial\core                                                                             |        280 |      7,203 |     20,434 |          0 |     27,637 |
| Libraries\LibreriasBlocklyOficial\core (Files)                                                                     |        100 |      3,762 |     12,161 |          0 |     15,923 |
| Libraries\LibreriasBlocklyOficial\core\events                                                                      |         39 |        837 |      1,518 |          0 |      2,355 |
| Libraries\LibreriasBlocklyOficial\core\interfaces                                                                  |         33 |        267 |      1,064 |          0 |      1,331 |
| Libraries\LibreriasBlocklyOficial\core\keyboard_nav                                                                |          5 |        104 |        395 |          0 |        499 |
| Libraries\LibreriasBlocklyOficial\core\procedures                                                                  |          4 |         61 |        124 |          0 |        185 |
| Libraries\LibreriasBlocklyOficial\core\renderers                                                                   |         61 |      1,317 |      2,940 |          0 |      4,257 |
| Libraries\LibreriasBlocklyOficial\core\renderers\common                                                            |         10 |        521 |      1,328 |          0 |      1,849 |
| Libraries\LibreriasBlocklyOficial\core\renderers\geras                                                             |         10 |        204 |        328 |          0 |        532 |
| Libraries\LibreriasBlocklyOficial\core\renderers\geras (Files)                                                     |          8 |        188 |        294 |          0 |        482 |
| Libraries\LibreriasBlocklyOficial\core\renderers\geras\measurables                                                 |          2 |         16 |         34 |          0 |         50 |
| Libraries\LibreriasBlocklyOficial\core\renderers\measurables                                                       |         22 |        272 |        751 |          0 |      1,023 |
| Libraries\LibreriasBlocklyOficial\core\renderers\minimalist                                                        |          5 |         35 |         91 |          0 |        126 |
| Libraries\LibreriasBlocklyOficial\core\renderers\thrasos                                                           |          3 |         25 |         49 |          0 |         74 |
| Libraries\LibreriasBlocklyOficial\core\renderers\zelos                                                             |         11 |        260 |        393 |          0 |        653 |
| Libraries\LibreriasBlocklyOficial\core\renderers\zelos (Files)                                                     |          7 |        228 |        318 |          0 |        546 |
| Libraries\LibreriasBlocklyOficial\core\renderers\zelos\measurables                                                 |          4 |         32 |         75 |          0 |        107 |
| Libraries\LibreriasBlocklyOficial\core\serialization                                                               |          7 |        141 |        306 |          0 |        447 |
| Libraries\LibreriasBlocklyOficial\core\theme                                                                       |          3 |          7 |         29 |          0 |         36 |
| Libraries\LibreriasBlocklyOficial\core\toolbox                                                                     |          5 |        246 |        656 |          0 |        902 |
